시설ID,시설명,서비스분류코드,서비스분류,자치구코드,자치구명,연령구분코드,연령구분,X좌표값,Y좌표값,우편번호,기본주소,상세주소,사이트유무,사이트URL,사용료무료여부,사용료,평일시작시간,평일종료시간,사용시간구분코드,사용시간구분,시작시간1,종료시간1,시작시간2,종료시간2,시작시간3,종료시간3,토요일운영여부,토요일운영시작시간,토요일운영종료시간,등록일시,수정일시
GB210801,수유1동 공동육아나눔터,1004,공동육아나눔터,11305,강북구,1001,영유아,127.02195,37.63209,1114,서울특별시 강북구 수유로12길 63,101동 2층 (수유동 삼성쉐르빌),N,,Y,0,1000,1800,Y,종일운영,,,,,,,N,,,34:12.0,
DM200402,동대문구 공동육아나눔터 제2호점(신세계 이마트 희망놀이터),1004,공동육아나눔터,11230,동대문구,1001,영유아,127.03888,37.57936,2571,서울특별시 동대문구 고산자로36길 3,경동시장 신관 2층 공동육아나눔터 제 2호점 (제기동),Y,https://ddmhfc.familynet.or.kr,N,4000,1000,1800,Y,종일운영,,,,,,,Y,1000,1800,54:51.0,46:29.0
DM200401,동대문구 공동육아나눔터 제1호점,1004,공동육아나눔터,11230,동대문구,1003,초등학생,127.03416,37.57187,2589,서울특별시 동대문구 청계천로 521,다사랑행복센터 7층 공동육아나눔터 제1호점 (용두동),Y,https://ddmhfc.familynet.or.kr,Y,,1000,1800,Y,종일운영,,,,,,,Y,1030,1800,38:02.0,46:00.0
DB200301,도봉구 공동육아나눔터 쌍문점,1004,공동육아나눔터,11320,도봉구,1001,영유아,127.02625,37.64709,1450,서울특별시 도봉구 우이천로 340,쌍문채움도서관 1층 공동육아나눔터 (쌍문동),Y,https://dobong.familynet.or.kr/center/index.do,Y,,900,1800,Y,종일운영,,,,,,,Y,900,1700,20:26.0,14:21.0
YF200201,공동육아나눔터 영등포,1004,공동육아나눔터,11560,영등포구,1001,영유아,126.92145,37.51117,7356,서울특별시 영등포구 영등포로84길 24-5,4층 영등포구건강가정지원센터 (신길동),Y,https://ydpfc.familynet.or.kr/center/index.do,Y,,1000,1800,Y,종일운영,,,,,,,N,,,19:58.0,20:23.0
MP191104,마포구공동육아나눔터,1004,공동육아나눔터,11440,마포구,1001,영유아,126.91132,37.54908,4027,서울특별시 마포구 양화로 19,홀트아동복지회 지하2층 (합정동),N,,Y,,900,1800,Y,종일운영,,,,,,,N,,,32:41.0,19:45.0
GB191103,강북구 건강가정.다문화가족지원센터 공동육아나눔터,1004,공동육아나눔터,11305,강북구,1001,영유아,127.02969,37.63776,1064,서울특별시 강북구 한천로129길 6, (번동),N,,Y,,1000,1800,,,1000,1800,,,,,N,,,32:41.0,12:05.0
DB191102,도봉구 공동육아나눔터 창동점,1004,공동육아나눔터,11320,도봉구,1001,영유아,127.04951,37.65902,1411,서울특별시 도봉구 노해로69길 151,도봉아이나라도서관 3층,Y,https://dobong.familynet.or.kr/center/index.do,Y,,1000,1800,Y,종일운영,1000,1800,,,,,Y,1000,1700,56:54.0,09:29.0
DB191104,도봉구 공동육아나눔터 도봉점,1004,공동육아나눔터,11320,도봉구,1001,영유아,127.04336,37.67868,1306,서울특별시 도봉구 도봉로169나길 22,도봉1동주민센터 2층 작은도서관 내,Y,https://dobong.familynet.or.kr/center/index.do,Y,,1000,1700,N,시간제운영,1000,1700,,,,,N,,,56:54.0,18:07.0
DB191103,도봉구 공동육아나눔터 방학점,1004,공동육아나눔터,11320,도봉구,1001,영유아,127.02782,37.66222,1359,서울특별시 도봉구 시루봉로 128,학마을다사랑 도서관 1층 어린이열람실 내,Y,https://dobong.familynet.or.kr/center/index.do,Y,,900,1800,Y,종일운영,900,1800,,,,,Y,900,1700,56:54.0,17:07.0
DB191101,도봉구 공동육아나눔터 거점,1004,공동육아나눔터,11320,도봉구,1001,영유아,127.03859,37.65385,1427,서울특별시 도봉구 도봉로 552,도봉구민회관 2층,Y,https://dobong.familynet.or.kr/center/index.do,Y,,1000,1800,Y,종일운영,1000,1800,,,,,Y,1000,1700,56:54.0,10:54.0
SP191105,송파구 공동육아나눔터,1004,공동육아나눔터,11710,송파구,1001,영유아,127.11959,37.53158,5531,서울시 송파구 토성로 19길 37,2층 공동육아나눔터,N,,N,,900,1800,N,시간제운영,900,1200,1300,1800,,,N,,,51:38.0,41:33.0
GA191102,관악구 건강가정다문화가족지원센터 공동육아나눔터,1004,공동육아나눔터,11620,관악구,1001,영유아,126.94497,37.46755,8825,서울시 관악구 신림로 3길 35,남파 김삼준 문화복지기념관 3층,N,,N,,900,1800,Y,종일운영,900,1800,,,,,Y,1000,1700,51:38.0,33:06.0
SM191104,서대문구 초등돌봄 공동육아나눔터(꿈도담터),1004,공동육아나눔터,11410,서대문구,1001,영유아,126.93899,37.5763,3719,서울시 서대문구 연희로 32길 48,연희성원아파트 관리동 2층 꿈도담터,N,,N,,1000,1900,Y,종일운영,1000,1900,,,,,N,,,51:38.0,46:41.0
DJ191102,동작구공동육아나눔터,1004,공동육아나눔터,11590,동작구,1001,영유아,126.97756,37.48839,6999,서울특별시 동작구 동작대로29길 63-26,지층 (사당동),Y,http://dchfc.familynet.or.kr,Y,,1000,1800,Y,종일운영,1000,1800,,,,,N,,,51:38.0,40:52.0
SM191103,서대문구공동육아나눔터,1004,공동육아나눔터,11410,서대문구,1001,영유아,126.94842,37.58318,3730,서울특별시 서대문구 통일로27길 19,홍제1동 자치회관 2층,N,,N,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,26:43.0
EP191101,은평구공동육아나눔터,1004,공동육아나눔터,11380,은평구,1001,영유아,126.9296306,37.60430604,3381,서울특별시 은평구 은평로21가길 15-17,은평구건강가정다문화가족지원센터 내 1층 (녹번동),N,,Y,,900,1800,,,900,1800,,,,,Y,900,1500,51:38.0,31:14.0
JN191101,종로구 공동육아나눔터,1004,공동육아나눔터,11110,종로구,1001,영유아,127.0132355,37.57371028,3105,서울특별시 종로구 종로53길 29,토월 3층 공동육아나눔터,N,,Y,,1000,1800,N,시간제운영,1000,1800,,,,,N,,,51:38.0,02:16.0
JR191104,중랑구공동육아나눔터,1004,공동육아나눔터,11260,중랑구,1001,영유아,127.09313,37.58112,2212,서울특별시 중랑구 용마산로 327,2층,N,,N,,1000,1800,Y,종일운영,1000,1800,,,,,Y,1000,1700,51:38.0,42:40.0
SB191102,성북구 행복 나눔터 2호점(초등돌봄),1004,공동육아나눔터,11290,성북구,1003,초등학생,127.02308,37.60113,2807,서울특별시 성북구 동소문로 34길 73 금호어울림아파트,휘트니스 2층 ,N,,Y,,1500,1800,N,시간제운영,,,,,,,N,,,51:38.0,55:48.0
SB191103,성북구 공동육아 행복나눔터,1004,공동육아나눔터,11290,성북구,1001,영유아,127.013023,37.60661749,2718,서울특별시 성북구 정릉로27길 61-6,성북온가족행복지원센터 4층 (정릉동),N,,Y,,1000,1730,N,시간제운영,,,,,,,Y,930,1330,51:38.0,02:12.0
NW191101,노원구 공동육아나눔터,1004,공동육아나눔터,11350,노원구,1001,영유아,127.0738273,37.62209701,1856,서울특별시 노원구 동일로173가길 87,1층 (공릉동),N,,Y,,1000,1800,,,1000,1800,,,,,N,,,51:38.0,59:18.0
GR191104,구로구 공동육아나눔터 2,1004,공동육아나눔터,11530,구로구,1001,영유아,126.84665,37.49559,8272,서울특별시 구로구 경인로20가길 68 (오류동),행복주택 단지 내 1층,Y,https://gurofc.familynet.or.kr,Y,,1000,1800,Y,종일운영,1000,1800,,,,,Y,1000,1500,51:38.0,48:49.0
GR191103,구로구 공동육아나눔터 1,1004,공동육아나눔터,11530,구로구,1001,영유아,126.88975,37.48256,8383,서울특별시 구로구 우마2길 35 (가리봉동),3층,Y,https://gurofc.familynet.or.kr,Y,,1000,1800,Y,종일운영,1000,1800,,,,,N,,,51:38.0,42:54.0
GS191103,강서구 공동육아나눔터,1004,공동육아나눔터,11500,강서구,1001,영유아,126.8489,37.52905,7781,서울시 강서구 강서로 5길 50 곰달래문화센터,4층,N,,Y,,900,1800,,,900,1800,,,,,N,,,51:38.0,47:37.0
GN191102,강남구공동육아나눔터 신한 꿈도담터 ,1004,공동육아나눔터,11680,강남구,1001,영유아,127.07776,37.49405,6336,서울특별시 강남구 개포로 617-8,강남구건강가정지원센터 1층 신한 꿈도담터 (개포동),N,,Y,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,41:41.0
SC191102,서초구 공동육아나눔터 '키움',1004,공동육아나눔터,11650,서초구,1001,영유아,127.00921,37.50501,6545,서울시 서초구 사평대로 205 파미에스테이션 2층,서초구열린육아나눔터 '키움',N,,N,,1000,1700,,,930,1730,,,,,Y,1300,1500,51:38.0,37:43.0
GA191103,관악구 공동육아나눔터(제 2센터),1004,공동육아나눔터,11620,관악구,1001,영유아,126.9584,37.47631,8790,서울시 관악구 낙성대로 4가길 5 4F (낙성대동주민센터),관악구건강가정지원센터 ,N,,N,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,41:14.0
GD191102,강동구 공동육아나눔터,1004,공동육아나눔터,11740,강동구,1001,영유아,127.14626,37.54979,5292,서울시 강동구 양재대로 138길 41,2층 강동구건강가정?다문화가족지원센터,N,,Y,,900,1800,Y,종일운영,900,1800,,,,,N,,,51:38.0,36:12.0
